date,strategy_net,benchmark_net
2021-03-10,1.0,1.0
2021-03-11,1.0,1.0
2021-03-15,1.0,1.0
2021-03-16,1.0,1.0
2021-03-17,1.0,1.0
2021-03-18,1.0,1.0
2021-03-22,1.0,1.0
2021-03-23,1.0,1.0
2021-03-24,1.0,1.0
2021-03-25,1.0,1.0
2021-03-29,1.0,1.0
2021-03-30,1.0,1.0
2021-03-31,1.0,0.9985
2021-04-01,1.0,1.0052873506466196
2021-04-05,1.0,1.0110565216212528
2021-04-06,1.0,1.001966921245863
2021-04-07,1.0,0.9911719600429686
2021-04-08,1.0,1.000314392294306
2021-04-12,1.0,1.0067574742283363
2021-04-13,1.0,1.0313637290240156
2021-04-14,1.0,1.0246761252349101
2021-04-15,1.0,1.0306205203198642
2021-04-19,1.0,0.9972419943534917
2021-04-20,1.0,1.0005447490414858
2021-04-21,1.0,0.9874902194253197
2021-04-22,1.0,0.9746417494009367
2021-04-26,1.0,0.9905286139776008
2021-04-27,1.0,0.9984991868731633
2021-04-28,1.0,1.0003218644782603
2021-04-29,1.0,0.9919701592205982
2021-05-05,1.0,1.008514836802569
2021-05-06,1.0,1.0007759318701346
2021-05-10,1.0,0.9982635322535203
2021-05-11,1.0,1.0018078834913071
2021-05-12,1.0,0.949822385631466
2021-05-13,1.0,0.9613369098766553
2021-05-17,1.0,0.9306924976153539
2021-05-18,1.0,0.9221986684057182
2021-05-19,1.0,0.8780441825231677
2021-05-20,1.0,0.9088483009079324
2021-05-24,1.0,0.9096278953595194
2021-05-25,1.0,0.9053899239778092
2021-05-26,1.0,0.9142120639420107
2021-05-27,1.0,0.9078650137805256
2021-06-01,1.0,0.8919421644486604
2021-06-02,1.0,0.8975552443524626
2021-06-03,1.0,0.9113453302782206
2021-06-07,1.0,0.866868348828763
2021-06-08,1.0,0.865687993890192
2021-06-09,1.0,0.9018281723780461
2021-06-10,1.0,0.8948311128270688
2021-06-14,1.0,0.9239084038079878
2021-06-15,1.0,0.9153835468348916
2021-06-16,1.0,0.9013214486789906
2021-06-17,1.0,0.8992500603375767
2021-06-21,1.0,0.8485959528397667
2021-06-22,1.0,0.8595611549980313
2021-06-23,1.0,0.8699919722799663
2021-06-24,1.0,0.8849139776405293
2021-06-28,1.0,0.8823446093262716
2021-06-29,1.0,0.8964815446536499
2021-06-30,1.0,0.8898423470666134
2021-07-01,1.0,0.8700228486978575
2021-07-06,1.0,0.8812874541194569
2021-07-07,1.0,0.876268508674564
2021-07-08,1.0,0.8642995974997006
2021-07-12,1.0,0.8743956504939386
