param,value,is_base,full_sharpe,full_annual_return,full_max_drawdown,is_sharpe,oos_sharpe,oos_annual_return,oos_max_drawdown,is_minus_oos_sharpe
lookback,126.0,False,-0.0386341918791586,-0.0016077956181503132,-0.1120851829295052,0.058684608021750746,-0.25027419967024855,-0.010924764456454834,-0.08672270019656314,0.3089588076919993
lookback,189.0,False,0.09575448650823024,0.003809017897751772,-0.10861964765807608,-0.07720880199963917,0.4513940518512016,0.01955392965122447,-0.06489562680797734,-0.5286028538508408
lookback,252.0,True,0.07859340030948612,0.003172932356723323,-0.07810212443789044,0.08837303377243749,0.060413545450956195,0.0027540465805834338,-0.060445041647326225,0.027959488321481298
lookback,315.0,False,-0.21788913677989288,-0.008567735172323732,-0.10860422425796601,0.04044496326586526,-0.6886424388268608,-0.0319170236606027,-0.09555071063157261,0.729087402092726
skip,0.0,False,0.5960071730737794,0.024084461490610932,-0.05366918891952577,0.6457932043734059,0.5060053342644466,0.023138940253714768,-0.04624905677502256,0.13978787010895932
skip,21.0,True,0.07859340030948612,0.003172932356723323,-0.07810212443789044,0.08837303377243749,0.060413545450956195,0.0027540465805834338,-0.060445041647326225,0.027959488321481298
skip,42.0,False,0.2574052246068473,0.010158867617631982,-0.06408665603499819,0.4058517061132154,-0.014605771980034515,-0.000667713240293004,-0.060403889508910624,0.42045747809324996
top_quantile,0.1,False,0.4108644133672419,0.023464593234245285,-0.08425778272365314,0.13574707718417411,0.9044115620251676,0.06184691118648817,-0.08174747329412513,-0.7686644848409935
top_quantile,0.2,True,0.07859340030948612,0.003172932356723323,-0.07810212443789044,0.08837303377243749,0.060413545450956195,0.0027540465805834338,-0.060445041647326225,0.027959488321481298
top_quantile,0.3,False,0.3795450386781132,0.012463724953225144,-0.07450806334383586,0.6988150357357751,-0.24735591307715118,-0.009067408113642903,-0.06735416870628508,0.9461709488129263
